Screen ,Event Name ,Description ,
,,,
Sign up,viewed_create_new_account_login_page,NOT ACTIVE,
,create_new_user_clicked_resend_otp,,Total Count : 109 (NO DUPLICATES)
,create_new_user_viewed_verify,,
,create_new_user_clicked_verify_otp,,
,signup_send_otp_failed,,
,,,
Login Screen ,viewed_login_otp_verify_page,User opens the OTP verification screen during login.,
,clicked_login_verify_otp,User taps the button to verify the entered OTP.,
,viewed_login_page,,
,clicked_login_btn,,
,login_verify_otp_success,OTP verification is successful and the user is logged in.,
,login_verify_otp_failed,OTP verification fails due to an incorrect or expired OTP.,
,clicked_login_resend_otp,User requests to resend the OTP.,
,clicked_login_send_otp_btn,User clicks the button to receive an OTP for login.,
,,,
hisaab list & hisab page ,clicked_hisab_coustom_date_btn,User clicks the Custom Date button on the Hisab page to view data for a selected date range.,
,clicked_hisab_bus_detail_card,User taps on a bus detail card to view its Hisab information.,
,viewed_hisab_page,User opens the Hisab page,
,clicked_hisab_bus_selection_btn,User clicks the button to select a bus for viewing Hisab details.,
,viewed_hisab_bus_detail,,
,clicked_hisab_download_btn,User clicks the download button to export Hisab data.,
,clicked_hisab_today_btn,User selects Today to view Hisab data for the current day.,
,clicked_hisab_yestarday_btn,User selects Yesterday to view Hisab data for the previous day.,
,,,
"Block Seat   ,   Bus Route Price 
Price Matrix
",view_pricing_page_prices_download_success,Pricing details are successfully downloaded.,
,view_pricing_page_prices_upload_success,Pricing details are successfully uploaded.,
,viewed_view_pricing_page,User opens the View Pricing page.,
,clicked_view_pricing_page_prices_download,User clicks the button to download pricing details.,
,clicked_view_pricing_page_prices_upload,User clicks the button to upload pricing details.,
,clicked_view_pricing_page_feedback,User opens the feedback option on the View Pricing page.,
,clicked_view_pricing_page_feedback_submit,User submits feedback related to pricing.,
,clicked_view_pricing_page_seat_type_selection,User selects a seat type while viewing pricing details.,
,,,
Bus Route and Pricing,viewed_view_route_page_back_btn,User clicks the Back button on the View Route page.,
,clicked_view_route_page_submit_changes,User clicks the button to submit route changes.,
,clicked_view_route_page_submit_changes_confirmed,User confirms the submitted route changes.,
,viewed_view_route_page,,
,viewed_manage_route_and_pricing_page,User opens the Route and Pricing page.,
,clicked_manage_route_and_pricing_bus_card,User selects a bus card to manage its route or pricing.,
,clicked_manage_route_and_pricing_view_route_btn,User clicks the button to view the selected bus route.,
,,,
Setting Page,viewed_setting_ticketing_machine_page,User opens the Ticketing Machine settings page.,
,clicked_ticketing_machine_bus_selection_btn,User clicks the button to select a bus while configuring the ticketing machine.,
,viewed_machine_name_change_page,User opens the page to change or update the machine name.,
,smart_ticketing_settings_failed,Updating smart ticketing settings fails due to an error.,
,,,
,,,
Wallet history,viewed_card_wallet_history_page,User opens the Card Wallet History page.,
,clicked_card_wallet_history_date_selection,User selects a date or date range to filter card wallet history.,
,,,
change language,viewed_nav_drawer_change_language_save_btn,User taps the Save button after selecting a language from the navigation drawer.,
,change_language_api_failed,Language change request fails due to an API or network error.,
,,,
,,,
Home Page,clicked_nav_drawer_change_language,HOME SIDE BAR ,
,clicked_nav_drawer_cash_settlement,,
,clicked_nav_drawer_reports,,
,clicked_nav_drawer_manage_route_pricing,,
,clicked_nav_drawer_pos_settings,,
,clicked_nav_drawer_dsn_mapping,,
,clicked_nav_drawer_online_payments_history,,
,clicked_nav_drawer_offer_discount,,
,clicked_nav_drawer_recharge,,
,clicked_nav_drawer_training_videos,,
,clicked_nav_drawer_my_profile,,
,clicked_nav_drawer_t&c,,
